wavelength,algae_species,algae_type,absorbance
400,heterosiphonia,rhodophyta_1,0.34
410,heterosiphonia,rhodophyta_1,0.41
420,heterosiphonia,rhodophyta_1,0.44
430,heterosiphonia,rhodophyta_1,0.45
440,heterosiphonia,rhodophyta_1,0.42
450,heterosiphonia,rhodophyta_1,0.3
460,heterosiphonia,rhodophyta_1,0.22
470,heterosiphonia,rhodophyta_1,0.2
480,heterosiphonia,rhodophyta_1,0.18
490,heterosiphonia,rhodophyta_1,0.11
500,heterosiphonia,rhodophyta_1,0.06
510,heterosiphonia,rhodophyta_1,0.04
520,heterosiphonia,rhodophyta_1,0.03
530,heterosiphonia,rhodophyta_1,0.02
540,heterosiphonia,rhodophyta_1,0.02
550,heterosiphonia,rhodophyta_1,0.02
560,heterosiphonia,rhodophyta_1,0.02
570,heterosiphonia,rhodophyta_1,0.03
580,heterosiphonia,rhodophyta_1,0.03
590,heterosiphonia,rhodophyta_1,0.04
600,heterosiphonia,rhodophyta_1,0.04
610,heterosiphonia,rhodophyta_1,0.05
620,heterosiphonia,rhodophyta_1,0.06
630,heterosiphonia,rhodophyta_1,0.06
640,heterosiphonia,rhodophyta_1,0.06
650,heterosiphonia,rhodophyta_1,0.1
660,heterosiphonia,rhodophyta_1,0.19
670,heterosiphonia,rhodophyta_1,0.19
680,heterosiphonia,rhodophyta_1,0.09
690,heterosiphonia,rhodophyta_1,0.04
700,heterosiphonia,rhodophyta_1,0.01
400,agardhiella,rhodophyta_2,0.81
410,agardhiella,rhodophyta_2,0.98
420,agardhiella,rhodophyta_2,1.04
430,agardhiella,rhodophyta_2,1.07
440,agardhiella,rhodophyta_2,0.9
450,agardhiella,rhodophyta_2,0.49
460,agardhiella,rhodophyta_2,0.3
470,agardhiella,rhodophyta_2,0.24
480,agardhiella,rhodophyta_2,0.2
490,agardhiella,rhodophyta_2,0.12
500,agardhiella,rhodophyta_2,0.06
510,agardhiella,rhodophyta_2,0.03
520,agardhiella,rhodophyta_2,0.02
530,agardhiella,rhodophyta_2,0.02
540,agardhiella,rhodophyta_2,0.02
550,agardhiella,rhodophyta_2,0.01
560,agardhiella,rhodophyta_2,0.03
570,agardhiella,rhodophyta_2,0.05
580,agardhiella,rhodophyta_2,0.07
590,agardhiella,rhodophyta_2,0.08
600,agardhiella,rhodophyta_2,0.09
610,agardhiella,rhodophyta_2,0.14
620,agardhiella,rhodophyta_2,0.16
630,agardhiella,rhodophyta_2,0.15
640,agardhiella,rhodophyta_2,0.15
650,agardhiella,rhodophyta_2,0.28
660,agardhiella,rhodophyta_2,0.57
670,agardhiella,rhodophyta_2,0.59
680,agardhiella,rhodophyta_2,0.24
690,agardhiella,rhodophyta_2,0.08
700,agardhiella,rhodophyta_2,0.02
400,ulva,chlorophyta,1.1
410,ulva,chlorophyta,1.43
420,ulva,chlorophyta,1.63
430,ulva,chlorophyta,1.75
440,ulva,chlorophyta,1.93
450,ulva,chlorophyta,1.68
460,ulva,chlorophyta,1.57
470,ulva,chlorophyta,1.65
480,ulva,chlorophyta,1.26
490,ulva,chlorophyta,0.57
500,ulva,chlorophyta,0.21
510,ulva,chlorophyta,0.08
520,ulva,chlorophyta,0.05
530,ulva,chlorophyta,0.04
540,ulva,chlorophyta,0.05
550,ulva,chlorophyta,0.05
560,ulva,chlorophyta,0.06
570,ulva,chlorophyta,0.09
580,ulva,chlorophyta,0.11
590,ulva,chlorophyta,0.13
600,ulva,chlorophyta,0.17
610,ulva,chlorophyta,0.19
620,ulva,chlorophyta,0.21
630,ulva,chlorophyta,0.21
640,ulva,chlorophyta,0.28
650,ulva,chlorophyta,0.44
660,ulva,chlorophyta,0.66
670,ulva,chlorophyta,0.61
680,ulva,chlorophyta,0.24
690,ulva,chlorophyta,0.07
700,ulva,chlorophyta,0.01
400,fucus,phaeophyta,1.17
410,fucus,phaeophyta,1.52
420,fucus,phaeophyta,1.65
430,fucus,phaeophyta,1.77
440,fucus,phaeophyta,1.81
450,fucus,phaeophyta,1.39
460,fucus,phaeophyta,1.12
470,fucus,phaeophyta,1.12
480,fucus,phaeophyta,0.87
490,fucus,phaeophyta,0.53
500,fucus,phaeophyta,0.34
510,fucus,phaeophyta,0.21
520,fucus,phaeophyta,0.13
530,fucus,phaeophyta,0.09
540,fucus,phaeophyta,0.07
550,fucus,phaeophyta,0.05
560,fucus,phaeophyta,0.06
570,fucus,phaeophyta,0.08
580,fucus,phaeophyta,0.11
590,fucus,phaeophyta,0.12
600,fucus,phaeophyta,0.13
610,fucus,phaeophyta,0.18
620,fucus,phaeophyta,0.21
630,fucus,phaeophyta,0.2
640,fucus,phaeophyta,0.19
650,fucus,phaeophyta,0.31
660,fucus,phaeophyta,0.66
670,fucus,phaeophyta,0.72
680,fucus,phaeophyta,0.28
690,fucus,phaeophyta,0.08
700,fucus,phaeophyta,0.01